Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion
1007,1,18,4.5,13.5,Reject,0.45,0.61,0.5
1007,3,15,3.75,11.25,Accept,1.39,0.8,0.42
1007,6,9,2.7,6.3,Accept,2.11,0.89,0.37
1007,8,9,2.25,6.75,Accept,1.43,0.81,0.35
1007,9,18,9.0,9.0,Accept,8.19,1.0,0.32
1007,10,15,1.5,13.5,Reject,-2.2,0.1,0.37
1007,11,12,2.4,9.6,Reject,1.41,0.8,0.29
1007,13,15,5.25,9.75,Accept,4.93,0.99,0.26
1007,14,9,2.7,6.3,Accept,2.68,0.94,0.29
1007,15,15,5.25,9.75,Accept,5.04,0.99,0.29
1007,16,15,5.25,9.75,Accept,5.1,0.99,0.31
1007,17,15,5.25,9.75,Accept,5.15,0.99,0.32
1007,18,12,4.2,7.8,Accept,4.14,0.98,0.33
1007,20,6,1.8,4.2,Accept,1.6,0.83,0.34
1007,22,15,3.75,11.25,Accept,2.73,0.94,0.33
1007,24,15,3.0,12.0,Accept,1.61,0.83,0.3
1007,25,9,1.8,7.2,Accept,1.22,0.77,0.27
1007,28,9,3.6,5.4,Accept,3.26,0.96,0.25
1007,29,15,6.0,9.0,Accept,5.61,1.0,0.3
1007,30,12,1.2,10.8,Reject,-1.25,0.22,0.33
1007,31,9,1.8,7.2,Accept,1.32,0.79,0.26
1007,32,12,4.8,7.2,Accept,4.32,0.99,0.24
1007,33,9,2.7,6.3,Accept,2.67,0.94,0.29
1007,35,9,2.25,6.75,Accept,1.91,0.87,0.29
1007,37,12,3.0,9.0,Accept,2.68,0.94,0.28
1007,39,15,6.0,9.0,Accept,5.51,1.0,0.27
1007,40,15,1.5,13.5,Reject,-1.33,0.21,0.31
1007,41,6,1.2,4.8,Reject,0.95,0.72,0.25
1007,42,18,5.4,12.6,Accept,5.1,0.99,0.23
1007,43,15,3.0,12.0,Accept,2.29,0.91,0.25
1007,44,6,2.4,3.6,Accept,2.16,0.9,0.24
1007,46,9,4.5,4.5,Reject,4.02,0.98,0.29
1007,47,9,4.5,4.5,Accept,4.16,0.98,0.35
1007,48,9,3.6,5.4,Accept,3.59,0.97,0.4
1007,50,12,4.2,7.8,Accept,3.7,0.98,0.4
1007,51,9,2.7,6.3,Accept,2.03,0.88,0.38
1008,1,15,5.25,9.75,Accept,3.23,0.96,0.5
1008,2,12,2.4,9.6,Reject,-0.35,0.41,0.46
1008,3,12,1.2,10.8,Reject,-1.81,0.14,0.38
1008,4,18,4.5,13.5,Accept,3.77,0.98,0.29
1008,5,9,1.8,7.2,Reject,1.14,0.76,0.28
1008,6,6,1.2,4.8,Accept,0.89,0.71,0.26
1008,7,18,5.4,12.6,Accept,5.13,0.99,0.24
1008,9,9,2.7,6.3,Accept,2.61,0.93,0.26
1008,10,9,2.7,6.3,Accept,2.63,0.93,0.27
1008,11,18,9.0,9.0,Accept,8.01,1.0,0.28
1008,12,9,2.7,6.3,Accept,2.33,0.91,0.35
1008,13,15,1.5,13.5,Reject,-1.63,0.16,0.33
1008,14,15,3.75,11.25,Accept,3.58,0.97,0.26
1008,16,12,4.8,7.2,Accept,4.38,0.99,0.26
1008,18,15,5.25,9.75,Accept,5.07,0.99,0.3
1008,19,9,1.8,7.2,Accept,0.86,0.7,0.32
1008,20,9,3.6,5.4,Accept,3.33,0.97,0.28
1008,21,9,3.6,5.4,Accept,3.41,0.97,0.32
1008,22,9,4.5,4.5,Accept,4.14,0.98,0.34
1008,23,9,4.5,4.5,Accept,4.25,0.99,0.39
1008,24,12,3.0,9.0,Reject,1.14,0.76,0.42
1008,25,15,5.25,9.75,Accept,4.97,0.99,0.37
1008,28,15,3.75,11.25,Accept,2.2,0.9,0.36
1008,30,15,3.0,12.0,Reject,1.24,0.78,0.33
